id,lingkar dada,lebar dada,dalam dada,panjang badan,tinggi pundak,tinggi pinggul,lebar pinggul,berat badan
363,48.93,11.13,18.10,35.80,36.53,38.97,13.17,10.20
364,59.30,13.27,23.30,36.27,53.23,55.53,10.77,17.80
365,55.30,9.60,23.13,46.43,47.83,49.10,9.40,12.94
366,58.30,13.43,20.60,56.53,57.37,60.50,10.73,18.96
367,53.73,11.97,21.27,48.87,44.63,45.97,9.17,11.82
368,52.57,11.50,22.30,44.13,40.00,43.87,11.97,11.97
369,53.77,11.40,21.97,43.03,46.33,48.00,11.10,12.84
370,63.70,14.23,23.47,51.57,51.40,54.40,13.97,21.71
371,65.87,14.33,26.53,51.47,53.47,56.33,13.27,21.07
372,50.87,11.60,20.17,48.50,45.07,49.70,13.20,13.11
373,50.70,12.50,20.03,40.50,42.97,46.40,13.34,12.64
374,60.33,13.63,24.73,53.73,50.73,54.47,16.17,17.46
375,52.77,12.60,19.80,43.70,44.40,46.80,13.23,12.09
376,52.90,10.90,21.53,47.70,43.93,45.90,12.40,16.90
377,52.93,10.90,21.53,47.70,43.93,45.90,12.40,12.11
378,58.63,13.43,22.30,51.63,53.57,54.90,14.90,16.90
379,63.43,14.60,22.40,57.57,45.90,52.63,17.80,20.44
380,58.57,13.10,23.90,50.67,53.23,56.13,14.60,18.91
381,60.33,12.40,21.53,54.60,52.83,53.63,14.37,21.19
382,53.00,12.33,21.13,43.77,45.70,47.63,13.53,13.17
383,50.50,13.50,21.60,43.23,45.07,46.17,16.10,13.36
384,66.90,30.00,12.27,63.10,61.83,65.00,13.93,28.30
385,68.40,26.90,17.40,43.40,54.87,62.07,12.23,19.23
386,57.77,27.17,10.87,46.17,49.23,50.73,10.23,16.22
387,67.87,22.43,9.27,61.93,52.37,40.70,12.60,25.15
388,57.07,20.40,10.43,47.43,48.10,51.73,10.47,15.30
389,61.30,23.50,14.53,46.70,50.73,54.67,11.37,19.12
390,66.57,27.47,13.30,56.50,51.30,58.57,11.90,24.67
391,69.37,24.93,12.43,55.27,51.23,56.53,14.43,20.94
392,65.47,26.90,13.37,59.13,51.50,57.03,11.43,20.20
393,67.67,24.90,15.07,55.20,45.60,51.33,15.50,26.87
394,65.50,27.40,11.27,60.33,55.37,61.10,17.77,27.57
